req_numer,time,result,energy_avaliable
188,18.7024,DEPLETED,0
189,18.8024,DEPLETED,0
190,18.9024,DEPLETED,0
191,19.0024,COMPLETE,7.02
192,19.1024,COMPLETE,4.04
193,19.2024,COMPLETE,1.06
194,19.3024,COMPLETE,0
195,19.4024,DEPLETED,0
196,19.5024,DEPLETED,0
197,19.6024,DEPLETED,0
198,19.7024,DEPLETED,0
199,19.8024,DEPLETED,0
200,19.9024,DEPLETED,0
201,20.0024,COMPLETE,7.02
202,20.1024,COMPLETE,4.04
203,20.2024,COMPLETE,1.06
204,20.3024,COMPLETE,0
205,20.4024,DEPLETED,0
206,20.5024,DEPLETED,0
207,20.6024,DEPLETED,0
208,20.7024,DEPLETED,0
209,20.8024,DEPLETED,0
210,20.9024,DEPLETED,0
211,21.0024,COMPLETE,7.02
212,21.1024,COMPLETE,4.04
213,21.2024,COMPLETE,1.06
214,21.3024,COMPLETE,0
215,21.4024,DEPLETED,0
216,21.5024,DEPLETED,0
217,21.6024,DEPLETED,0
218,21.7024,DEPLETED,0
219,21.8024,DEPLETED,0
220,21.9024,DEPLETED,0
221,22.0024,COMPLETE,7.02
222,22.1024,COMPLETE,4.04
223,22.2024,COMPLETE,1.06
224,22.3024,COMPLETE,0
225,22.4024,DEPLETED,0
226,22.5024,DEPLETED,0
227,22.6024,DEPLETED,0
228,22.7024,DEPLETED,0
229,22.8024,DEPLETED,0
230,22.9024,DEPLETED,0
231,23.0024,COMPLETE,7.02
232,23.1024,COMPLETE,4.04
233,23.2024,COMPLETE,1.06
234,23.3024,COMPLETE,0
235,23.4024,DEPLETED,0
236,23.5024,DEPLETED,0
237,23.6024,DEPLETED,0
238,23.7024,DEPLETED,0
239,23.8024,DEPLETED,0
240,23.9024,DEPLETED,0
241,24.0024,COMPLETE,7.02
242,24.1024,COMPLETE,4.04
243,24.2024,COMPLETE,1.06
244,24.3024,COMPLETE,0
245,24.4024,DEPLETED,0
246,24.5024,DEPLETED,0
247,24.6024,DEPLETED,0
248,24.7024,DEPLETED,0
249,24.8024,DEPLETED,0
250,24.9024,DEPLETED,0
251,25.0024,COMPLETE,7.02
252,25.1024,COMPLETE,4.04
253,25.2024,COMPLETE,1.06
254,25.3024,COMPLETE,0
255,25.4024,DEPLETED,0
256,25.5024,DEPLETED,0
257,25.6024,DEPLETED,0
258,25.7024,DEPLETED,0
259,25.8024,DEPLETED,0
260,25.9024,DEPLETED,0
261,26.0024,COMPLETE,7.02
262,26.1024,COMPLETE,4.04
263,26.2024,COMPLETE,1.06
264,26.3024,COMPLETE,0
265,26.4024,DEPLETED,0
266,26.5024,DEPLETED,0
267,26.6024,DEPLETED,0
268,26.7024,DEPLETED,0
269,26.8024,DEPLETED,0
270,26.9024,DEPLETED,0
271,27.0024,COMPLETE,7.02
272,27.1024,COMPLETE,4.04
273,27.2024,COMPLETE,1.06
274,27.3024,COMPLETE,0
275,27.4024,DEPLETED,0
276,27.5024,DEPLETED,0
277,27.6024,DEPLETED,0
278,27.7024,DEPLETED,0
279,27.8024,DEPLETED,0
280,27.9024,DEPLETED,0
281,28.0024,COMPLETE,7.02
282,28.1024,COMPLETE,4.04
283,28.2024,COMPLETE,1.06
284,28.3024,COMPLETE,0
285,28.4024,DEPLETED,0
286,28.5024,DEPLETED,0
287,28.6024,DEPLETED,0
288,28.7024,DEPLETED,0
289,28.8024,DEPLETED,0
290,28.9024,DEPLETED,0
291,29.0024,COMPLETE,7.02
292,29.1024,COMPLETE,4.04
293,29.2024,COMPLETE,1.06
294,29.3024,COMPLETE,0
295,29.4024,DEPLETED,0
296,29.5024,DEPLETED,0
297,29.6024,DEPLETED,0
298,29.7024,DEPLETED,0
299,29.8024,DEPLETED,0
300,29.9024,DEPLETED,0
301,30.0024,COMPLETE,7.02
302,30.1024,COMPLETE,4.04
303,30.2024,COMPLETE,1.06
304,30.3024,COMPLETE,0
305,30.4024,DEPLETED,0
306,30.5024,DEPLETED,0
307,30.6024,DEPLETED,0
308,30.7024,DEPLETED,0
309,30.8024,DEPLETED,0
310,30.9024,DEPLETED,0
311,31.0024,COMPLETE,7.02
312,31.1024,COMPLETE,4.04
313,31.2024,COMPLETE,1.06
314,31.3024,COMPLETE,0
315,31.4024,DEPLETED,0
316,31.5024,DEPLETED,0
317,31.6024,DEPLETED,0
318,31.7024,DEPLETED,0
319,31.8024,DEPLETED,0
320,31.9024,DEPLETED,0
321,32.0024,COMPLETE,7.02
322,32.1024,COMPLETE,4.04
323,32.2024,COMPLETE,1.06
324,32.3024,COMPLETE,0
325,32.4024,DEPLETED,0
326,32.5024,DEPLETED,0
327,32.6024,DEPLETED,0
328,32.7024,DEPLETED,0
329,32.8024,DEPLETED,0
330,32.9024,DEPLETED,0
331,33.0024,COMPLETE,7.02
332,33.1024,COMPLETE,4.04
333,33.2024,COMPLETE,1.06
334,33.3024,COMPLETE,0
335,33.4024,DEPLETED,0
336,33.5024,DEPLETED,0
337,33.6024,DEPLETED,0
338,33.7024,DEPLETED,0
339,33.8024,DEPLETED,0
340,33.9024,DEPLETED,0
341,34.0024,COMPLETE,7.02
342,34.1024,COMPLETE,4.04
343,34.2024,COMPLETE,1.06
344,34.3024,COMPLETE,0
345,34.4024,DEPLETED,0
346,34.5024,DEPLETED,0
347,34.6024,DEPLETED,0
348,34.7024,DEPLETED,0
349,34.8024,DEPLETED,0
350,34.9024,DEPLETED,0
351,35.0024,COMPLETE,7.02
352,35.1024,COMPLETE,4.04
353,35.2024,COMPLETE,1.06
354,35.3024,COMPLETE,0
355,35.4024,DEPLETED,0
356,35.5024,DEPLETED,0
357,35.6024,DEPLETED,0
358,35.7024,DEPLETED,0
359,35.8024,DEPLETED,0
360,35.9024,DEPLETED,0
361,36.0024,COMPLETE,7.02
362,36.1024,COMPLETE,4.04
363,36.2024,COMPLETE,1.06
364,36.3024,COMPLETE,0
365,36.4024,DEPLETED,0
366,36.5024,DEPLETED,0
367,36.6024,DEPLETED,0
368,36.7024,DEPLETED,0
369,36.8024,DEPLETED,0
370,36.9024,DEPLETED,0
371,37.0024,COMPLETE,7.02
372,37.1024,COMPLETE,4.04
373,37.2024,COMPLETE,1.06
374,37.3024,COMPLETE,0
375,37.4024,DEPLETED,0
376,37.5024,DEPLETED,0
377,37.6024,DEPLETED,0
378,37.7024,DEPLETED,0
379,37.8024,DEPLETED,0
380,37.9024,DEPLETED,0
381,38.0024,COMPLETE,7.02
382,38.1024,COMPLETE,4.04
383,38.2024,COMPLETE,1.06
384,38.3024,COMPLETE,0
385,38.4024,DEPLETED,0
386,38.5024,DEPLETED,0
387,38.6024,DEPLETED,0
388,38.7024,DEPLETED,0
389,38.8024,DEPLETED,0
390,38.9024,DEPLETED,0
391,39.0024,COMPLETE,7.02
392,39.1024,COMPLETE,4.04
